seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,target_error,evaluation_loss,consistency_l1,update_l1,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.0,0.0,reversed,uniform,0.3,4,0.031406335205127714,0.006924905115738511,0.27662422031536793,0.0829872660946104,True,978,3885
0,2,0.0,0.0,reversed,uniform,0.3,5,0.0314063396537104,0.0069249038739750786,0.19363693600095863,0.05809108080028755,True,1203,4662
0,2,0.3,0.0,stage0,optimization,0.0,0,0.0355186142344035,0.017057981559824267,1.16368595300426,0.0,True,384,1254
0,2,0.3,0.0,stage0,optimization,0.3,0,0.0355186142344035,0.017057981559824267,1.16368595300426,0.34910578590127794,True,384,1254
0,2,0.3,0.0,stage0,optimization,0.3,1,0.021053377839038045,0.018927687742654395,0.33614133888589826,0.1008424016657695,True,792,2433
0,2,0.3,0.0,stage0,optimization,0.3,2,0.005234042809928563,0.012438662298441311,0.4601226715705865,0.13803680147117597,True,1119,3774
0,2,0.3,0.0,stage0,optimization,0.3,3,0.0012403502707916125,0.01391540372215164,0.19087407605981996,0.05726222281794596,True,1353,4875
0,2,0.3,0.0,stage0,optimization,0.3,4,0.021876766040410445,0.025377522779772503,0.1907927576235223,0.057237827287056744,True,1533,5679
0,2,0.3,0.0,stage0,optimization,0.3,5,0.021903801888938368,0.0251587436643645,0.7739782368303019,0.23219347104909058,True,1704,7335
0,2,0.3,0.0,stage0,uniform,0.0,0,0.0355186142344035,0.01754673368607958,1.04178298299905,0.0,True,384,714
0,2,0.3,0.0,stage0,uniform,0.3,0,0.0355186142344035,0.01754673368607958,1.04178298299905,0.31253489489971487,True,384,714
0,2,0.3,0.0,stage0,uniform,0.3,1,0.023842181637613813,0.010603274373958508,0.6616875138882856,0.19850625416648568,True,786,1428
0,2,0.3,0.0,stage0,uniform,0.3,2,0.013390954845911525,0.005606017153089245,0.41991040650385303,0.1259731219511559,True,1134,2142
0,2,0.3,0.0,stage0,uniform,0.3,3,0.0018258505470156727,0.018743224442005157,0.41740480142976677,0.12522144042892994,True,1323,2856
0,2,0.3,0.0,stage0,uniform,0.3,4,0.06546810506529965,0.04360016683737437,0.5794748820438153,0.17384246461314462,True,1554,3570
0,2,0.3,0.0,stage0,uniform,0.3,5,0.06546810506529965,0.04360016683737437,0.4056324174306707,0.12168972522920125,True,1785,4284
0,2,0.3,0.0,uniform,optimization,0.0,0,0.032838576052871105,0.017331295801947512,1.1297898624972595,0.0,True,231,912
0,2,0.3,0.0,uniform,optimization,0.3,0,0.032838576052871105,0.017331295801947512,1.1297898624972595,0.3389369587491779,True,231,912
0,2,0.3,0.0,uniform,optimization,0.3,1,0.022379555956047348,0.014667261139365931,0.41138303202892396,0.12341490960867713,True,687,2040
0,2,0.3,0.0,uniform,optimization,0.3,2,0.005492324180274288,0.011744670893698878,0.5489251010837182,0.16467753032511553,True,1014,3168
0,2,0.3,0.0,uniform,optimization,0.3,3,0.05377185864726641,0.0134078838840568,0.27374549863926956,0.08212364959178087,True,1302,4458
0,2,0.3,0.0,uniform,optimization,0.3,4,0.02765829069539727,0.02754292842191934,0.2387880576782787,0.07163641730348361,True,1446,5568
0,2,0.3,0.0,uniform,optimization,0.3,5,0.026750663794928187,0.027115086416508408,0.20464821894100121,0.061394465682300434,True,1626,6513
0,2,0.3,0.0,uniform,uniform,0.0,0,0.032838576052871105,0.017331295801947515,1.004497033312403,0.0,True,231,714
0,2,0.3,0.0,uniform,uniform,0.3,0,0.032838576052871105,0.017331295801947515,1.004497033312403,0.30134910999372094,True,231,714
0,2,0.3,0.0,uniform,uniform,0.3,1,0.022791849017961496,0.012525354356815418,0.6556065904361875,0.1966819771308563,True,408,1428
0,2,0.3,0.0,uniform,uniform,0.3,2,0.06546782654058703,0.04360003272692362,0.8086355795420894,0.24259067386262687,True,588,2142
0,2,0.3,0.0,uniform,uniform,0.3,3,0.06546810506529965,0.04360016683737437,0.5660449056794625,0.1698134717038387,True,819,2856
0,2,0.3,0.0,uniform,uniform,0.3,4,0.06546822332572333,0.043600221474965416,0.3962314339756238,0.11886943019268711,True,1002,3570
0,2,0.3,0.0,uniform,uniform,0.3,5,0.06546823657698297,0.043600231409072876,0.27736200378293674,0.08320860113488096,True,1212,4284
0,2,0.3,0.0,dirichlet,optimization,0.0,0,0.03446077737380726,0.0053204342406684875,1.664703601447467,0.0,True,231,813
0,2,0.3,0.0,dirichlet,optimization,0.3,0,0.06546810506529965,0.029220208883330923,0.5752686309108792,0.17258058927326378,True,222,606
0,2,0.3,0.0,dirichlet,optimization,0.3,1,0.02505587871030457,0.02583517499346833,0.40006770885552545,0.12002031265665766,True,453,1692
0,2,0.3,0.0,dirichlet,optimization,0.3,2,0.023992242609406134,0.0218122369300576,0.6380659889450827,0.19141979668352477,True,663,3033
